global_rmse,occupied_rmse,weighted_rmse
1.192409515380859375e+02,1.338888702392578125e+02,2.080044403076171875e+02
1.192420425415039062e+02,1.338904113769531250e+02,2.080050964355468750e+02
1.192448348999023438e+02,1.338936004638671875e+02,2.080068054199218750e+02
1.192510528564453125e+02,1.339004364013671875e+02,2.080103607177734375e+02
1.192544784545898438e+02,1.339041290283203125e+02,2.080124206542968750e+02
1.192517700195312500e+02,1.339010772705078125e+02,2.080106811523437500e+02
1.192514419555664062e+02,1.339006805419921875e+02,2.080104217529296875e+02
1.192465515136718750e+02,1.338952178955078125e+02,2.080065307617187500e+02
1.192456130981445312e+02,1.338942565917968750e+02,2.080061340332031250e+02
1.192506332397460938e+02,1.338997955322265625e+02,2.080095520019531250e+02
1.192438201904296875e+02,1.338921966552734375e+02,2.080040435791015625e+02
1.192521362304687500e+02,1.339015350341796875e+02,2.080110321044921875e+02
1.192501068115234375e+02,1.338992462158203125e+02,2.080090637207031250e+02
1.192476959228515625e+02,1.338965301513671875e+02,2.080075531005859375e+02
1.192462921142578125e+02,1.338949737548828125e+02,2.080065307617187500e+02
1.192463836669921875e+02,1.338950805664062500e+02,2.080065765380859375e+02
1.192460556030273438e+02,1.338947143554687500e+02,2.080063629150390625e+02
1.192458343505859375e+02,1.338944549560546875e+02,2.080063323974609375e+02
1.192452392578125000e+02,1.338936920166015625e+02,2.080056762695312500e+02
1.192451171875000000e+02,1.338935852050781250e+02,2.080055694580078125e+02
1.192446899414062500e+02,1.338929901123046875e+02,2.080051879882812500e+02
1.192454986572265625e+02,1.338939819335937500e+02,2.080057983398437500e+02
1.192452697753906250e+02,1.338937225341796875e+02,2.080056457519531250e+02
1.192453002929687500e+02,1.338938293457031250e+02,2.080057067871093750e+02
1.192452392578125000e+02,1.338937225341796875e+02,2.080056457519531250e+02
1.192453918457031250e+02,1.338937225341796875e+02,2.080056610107421875e+02
1.192460403442382812e+02,1.338936920166015625e+02,2.080056610107421875e+02
1.192456436157226562e+02,1.338936920166015625e+02,2.080056610107421875e+02
1.192453613281250000e+02,1.338936767578125000e+02,2.080056610107421875e+02
1.192453002929687500e+02,1.338936767578125000e+02,2.080056457519531250e+02
1.192453155517578125e+02,1.338936767578125000e+02,2.080056457519531250e+02
1.192453155517578125e+02,1.338936767578125000e+02,2.080056457519531250e+02
1.192453613281250000e+02,1.338936920166015625e+02,2.080056457519531250e+02
1.192456588745117188e+02,1.338937225341796875e+02,2.080056457519531250e+02
1.192454986572265625e+02,1.338937225341796875e+02,2.080056457519531250e+02
1.192454986572265625e+02,1.338937225341796875e+02,2.080056457519531250e+02
1.192459030151367188e+02,1.338937835693359375e+02,2.080056610107421875e+02
1.192457809448242188e+02,1.338937377929687500e+02,2.080056610107421875e+02
1.192451858520507812e+02,1.338935241699218750e+02,2.080056152343750000e+02
1.192453613281250000e+02,1.338936309814453125e+02,2.080056304931640625e+02
1.192453765869140625e+02,1.338936157226562500e+02,2.080056304931640625e+02
1.192453994750976562e+02,1.338936920166015625e+02,2.080056610107421875e+02
1.192451171875000000e+02,1.338934020996093750e+02,2.080055847167968750e+02
1.192447738647460938e+02,1.338930358886718750e+02,2.080054779052734375e+02
1.192449264526367188e+02,1.338932495117187500e+02,2.080055389404296875e+02
1.192448959350585938e+02,1.338932037353515625e+02,2.080055236816406250e+02
1.192451171875000000e+02,1.338934631347656250e+02,2.080056457519531250e+02
1.192449722290039062e+02,1.338932800292968750e+02,2.080055541992187500e+02
1.192448272705078125e+02,1.338930969238281250e+02,2.080053558349609375e+02
1.192446823120117188e+02,1.338928985595703125e+02,2.080051727294921875e+02
1.192445755004882812e+02,1.338928527832031250e+02,2.080051727294921875e+02
1.192446441650390625e+02,1.338929138183593750e+02,2.080052337646484375e+02
1.192439117431640625e+02,1.338919830322265625e+02,2.080045623779296875e+02
1.192439193725585938e+02,1.338919372558593750e+02,2.080045776367187500e+02
1.192434692382812500e+02,1.338914337158203125e+02,2.080042419433593750e+02
1.192427978515625000e+02,1.338906707763671875e+02,2.080037994384765625e+02
1.192442855834960938e+02,1.338922729492187500e+02,2.080049133300781250e+02
1.192448959350585938e+02,1.338929290771484375e+02,2.080053405761718750e+02
1.192332000732421875e+02,1.338797912597656250e+02,2.079956359863281250e+02
1.192291183471679688e+02,1.338751678466796875e+02,2.079922180175781250e+02
1.192077178955078125e+02,1.338511199951171875e+02,2.079715118408203125e+02
1.192120819091796875e+02,1.338560180664062500e+02,2.079756011962890625e+02
1.191793899536132812e+02,1.338192138671875000e+02,2.079432525634765625e+02
1.191603164672851562e+02,1.337977600097656250e+02,2.079229278564453125e+02
1.191259689331054688e+02,1.337591857910156250e+02,2.078841857910156250e+02
1.190619430541992188e+02,1.336873016357421875e+02,2.078074493408203125e+02
1.189520492553710938e+02,1.335639190673828125e+02,2.076737823486328125e+02
1.188205566406250000e+02,1.334162750244140625e+02,2.075086669921875000e+02
1.186624221801757812e+02,1.332387237548828125e+02,2.073000488281250000e+02
1.183694534301757812e+02,1.329097595214843750e+02,2.068851928710937500e+02
1.180179519653320312e+02,1.325150909423828125e+02,2.063713684082031250e+02
1.173519668579101562e+02,1.317673034667968750e+02,2.053295593261718750e+02
1.161700515747070312e+02,1.304401855468750000e+02,2.033459930419921875e+02
1.146206054687500000e+02,1.287003936767578125e+02,2.005749206542968750e+02
1.128600387573242188e+02,1.267235336303710938e+02,1.973039398193359375e+02
1.107642211914062500e+02,1.243702392578125000e+02,1.932242431640625000e+02
1.085652847290039062e+02,1.219011611938476562e+02,1.888331909179687500e+02
1.063438491821289062e+02,1.194068145751953125e+02,1.843332366943359375e+02
1.034060592651367188e+02,1.161080932617187500e+02,1.781361083984375000e+02
1.005439147949218750e+02,1.128943176269531250e+02,1.720809020996093750e+02
9.810507202148437500e+01,1.101558456420898438e+02,1.669753570556640625e+02
9.575408935546875000e+01,1.075160217285156250e+02,1.621289367675781250e+02
9.309783172607421875e+01,1.045334243774414062e+02,1.565669860839843750e+02
9.041556549072265625e+01,1.015216140747070312e+02,1.510253906250000000e+02
8.795840454101562500e+01,9.876255798339843750e+01,1.460353698730468750e+02
8.612911987304687500e+01,9.670853424072265625e+01,1.424535064697265625e+02
8.489239501953125000e+01,9.531986999511718750e+01,1.399832458496093750e+02
8.411926269531250000e+01,9.445175170898437500e+01,1.385397338867187500e+02
8.360370635986328125e+01,9.387284088134765625e+01,1.375480804443359375e+02
8.326588439941406250e+01,9.349350738525390625e+01,1.368984375000000000e+02
8.298220062255859375e+01,9.317497253417968750e+01,1.363356933593750000e+02
8.272336578369140625e+01,9.288433837890625000e+01,1.357595977783203125e+02
8.254313659667968750e+01,9.268196868896484375e+01,1.353434600830078125e+02
8.231366729736328125e+01,9.242430114746093750e+01,1.347998657226562500e+02
8.215422058105468750e+01,9.224526977539062500e+01,1.344396514892578125e+02
8.198477935791015625e+01,9.205500793457031250e+01,1.340627288818359375e+02
8.184542846679687500e+01,9.189852905273437500e+01,1.338127288818359375e+02
8.170252990722656250e+01,9.173808288574218750e+01,1.336007995605468750e+02
8.155831909179687500e+01,9.157616424560546875e+01,1.334095611572265625e+02
8.139955902099609375e+01,9.139789581298828125e+01,1.332182617187500000e+02
8.123410034179687500e+01,9.121211242675781250e+01,1.330356597900390625e+02
8.106464385986328125e+01,9.102184295654296875e+01,1.328578948974609375e+02
8.093365478515625000e+01,9.087475585937500000e+01,1.327143249511718750e+02
8.084922027587890625e+01,9.077995300292968750e+01,1.326179656982421875e+02
8.078478240966796875e+01,9.070759582519531250e+01,1.325426330566406250e+02
8.074894714355468750e+01,9.066736602783203125e+01,1.324956054687500000e+02
8.066813659667968750e+01,9.057662200927734375e+01,1.323970184326171875e+02
8.060701751708984375e+01,9.050799560546875000e+01,1.323144073486328125e+02
8.053339385986328125e+01,9.042532348632812500e+01,1.322217102050781250e+02
8.046453857421875000e+01,9.034801483154296875e+01,1.321251678466796875e+02
8.041917419433593750e+01,9.029707336425781250e+01,1.320555267333984375e+02
8.034970855712890625e+01,9.021907806396484375e+01,1.319678955078125000e+02
8.031605529785156250e+01,9.018128967285156250e+01,1.319233703613281250e+02
8.030245971679687500e+01,9.016600799560546875e+01,1.319087677001953125e+02
8.030470275878906250e+01,9.016853332519531250e+01,1.319180297851562500e+02
8.029682159423828125e+01,9.015968322753906250e+01,1.319001770019531250e+02
8.027725982666015625e+01,9.013772583007812500e+01,1.318526611328125000e+02
8.023911285400390625e+01,9.009487915039062500e+01,1.317623748779296875e+02
8.010151672363281250e+01,8.994038391113281250e+01,1.314403839111328125e+02
7.992230987548828125e+01,8.973915863037109375e+01,1.310277862548828125e+02
7.961252593994140625e+01,8.939131927490234375e+01,1.303228912353515625e+02
7.929176330566406250e+01,8.903114318847656250e+01,1.296041412353515625e+02
7.907038879394531250e+01,8.878256988525390625e+01,1.291040191650390625e+02
7.891152191162109375e+01,8.860418701171875000e+01,1.287386779785156250e+02
7.874359893798828125e+01,8.841561889648437500e+01,1.283676452636718750e+02
7.860938262939453125e+01,8.826492309570312500e+01,1.280735778808593750e+02
7.852553558349609375e+01,8.817076873779296875e+01,1.278982620239257812e+02
7.844895172119140625e+01,8.808477783203125000e+01,1.277387695312500000e+02
7.837362670898437500e+01,8.800019073486328125e+01,1.275931701660156250e+02
7.826634979248046875e+01,8.787973022460937500e+01,1.273965682983398438e+02
7.817749786376953125e+01,8.777997589111328125e+01,1.272375106811523438e+02
7.811877441406250000e+01,8.771404266357421875e+01,1.271251602172851562e+02
7.809170532226562500e+01,8.768363189697265625e+01,1.270625610351562500e+02
7.808240509033203125e+01,8.767318725585937500e+01,1.270337142944335938e+02
7.807560729980468750e+01,8.766555786132812500e+01,1.270175933837890625e+02
7.807040405273437500e+01,8.765971374511718750e+01,1.270042572021484375e+02
7.806258392333984375e+01,8.765093231201171875e+01,1.269879913330078125e+02
7.805486297607421875e+01,8.764227294921875000e+01,1.269717178344726562e+02
