global_rmse,occupied_rmse
2.177625298500061035e-01,2.210630476474761963e-01
2.167620956897735596e-01,2.200466245412826538e-01
2.155823707580566406e-01,2.188480347394943237e-01
2.149781882762908936e-01,2.182342261075973511e-01
2.127374708652496338e-01,2.159576863050460815e-01
2.117056995630264282e-01,2.149093300104141235e-01
2.110613584518432617e-01,2.142547518014907837e-01
2.092547416687011719e-01,2.124191522598266602e-01
2.073748707771301270e-01,2.105091363191604614e-01
2.057972997426986694e-01,2.089063376188278198e-01
2.040181756019592285e-01,2.070987969636917114e-01
2.013464123010635376e-01,2.043842822313308716e-01
2.003054618835449219e-01,2.033266872167587280e-01
1.977531015872955322e-01,2.007334828376770020e-01
1.959540098905563354e-01,1.989055424928665161e-01
1.939749717712402344e-01,1.968947947025299072e-01
1.916050910949707031e-01,1.944869160652160645e-01
1.898319870233535767e-01,1.926853656768798828e-01
1.888248920440673828e-01,1.916620731353759766e-01
1.872267276048660278e-01,1.900382190942764282e-01
1.849218755960464478e-01,1.876963376998901367e-01
1.827626079320907593e-01,1.855023503303527832e-01
1.819777190685272217e-01,1.847047954797744751e-01
1.801259815692901611e-01,1.828232258558273315e-01
1.786204576492309570e-01,1.812934577465057373e-01
1.769133657217025757e-01,1.795588433742523193e-01
1.747878342866897583e-01,1.773990094661712646e-01
1.744456291198730469e-01,1.770512908697128296e-01
1.721338033676147461e-01,1.747021079063415527e-01
1.724304407835006714e-01,1.750035285949707031e-01
1.715842336416244507e-01,1.741436272859573364e-01
1.707945764064788818e-01,1.733412146568298340e-01
1.695399135351181030e-01,1.720662564039230347e-01
1.690841019153594971e-01,1.716030687093734741e-01
1.679871231317520142e-01,1.704883128404617310e-01
1.662161946296691895e-01,1.686886399984359741e-01
1.652532815933227539e-01,1.677101254463195801e-01
1.632721573114395142e-01,1.656968593597412109e-01
1.631053686141967773e-01,1.655273288488388062e-01
1.615285277366638184e-01,1.639247387647628784e-01
1.609253138303756714e-01,1.633115410804748535e-01
1.595583260059356689e-01,1.619220525026321411e-01
1.590553522109985352e-01,1.614104062318801880e-01
1.587820947170257568e-01,1.611326038837432861e-01
1.583400815725326538e-01,1.606829911470413208e-01
1.575105786323547363e-01,1.598386764526367188e-01
1.570962667465209961e-01,1.594167947769165039e-01
1.571910083293914795e-01,1.595169305801391602e-01
1.571158915758132935e-01,1.594438850879669189e-01
1.570114344358444214e-01,1.593362689018249512e-01
1.569746285676956177e-01,1.592995375394821167e-01
1.569583117961883545e-01,1.592817455530166626e-01
1.569384783506393433e-01,1.592220067977905273e-01
1.569164842367172241e-01,1.592182964086532593e-01
1.570131033658981323e-01,1.593338549137115479e-01
1.569021791219711304e-01,1.592093408107757568e-01
1.569810360670089722e-01,1.593004465103149414e-01
1.567986160516738892e-01,1.591069102287292480e-01
1.567164361476898193e-01,1.590242087841033936e-01
1.566839218139648438e-01,1.589849591255187988e-01
1.567334681749343872e-01,1.589697897434234619e-01
1.568242013454437256e-01,1.590838432312011719e-01
1.567386686801910400e-01,1.589793264865875244e-01
1.567897349596023560e-01,1.589830964803695679e-01
1.567973345518112183e-01,1.589795947074890137e-01
1.567684262990951538e-01,1.589625179767608643e-01
1.567832976579666138e-01,1.589888036251068115e-01
1.568037420511245728e-01,1.589957177639007568e-01
1.568660438060760498e-01,1.590467095375061035e-01
1.568814963102340698e-01,1.590755283832550049e-01
1.570151597261428833e-01,1.591289192438125610e-01
1.571568548679351807e-01,1.592380404472351074e-01
1.572187393903732300e-01,1.592654287815093994e-01
1.571619361639022827e-01,1.591800898313522339e-01
1.571239382028579712e-01,1.590929329395294189e-01
1.571155488491058350e-01,1.591826379299163818e-01
1.567946523427963257e-01,1.588634252548217773e-01
1.567975878715515137e-01,1.588718593120574951e-01
1.567852795124053955e-01,1.588611155748367310e-01
1.567461341619491577e-01,1.588210314512252808e-01
1.566796302795410156e-01,1.587420105934143066e-01
1.567166149616241455e-01,1.587886214256286621e-01
1.566015183925628662e-01,1.586718261241912842e-01
1.565367281436920166e-01,1.586063951253890991e-01
1.564444303512573242e-01,1.585131734609603882e-01
1.566648930311203003e-01,1.587377637624740601e-01
1.567358970642089844e-01,1.588099747896194458e-01
1.566063761711120605e-01,1.586777418851852417e-01
1.564666479825973511e-01,1.585350632667541504e-01
1.559208184480667114e-01,1.579799950122833252e-01
1.548736691474914551e-01,1.569171249866485596e-01
1.546344161033630371e-01,1.566740125417709351e-01
1.538198143243789673e-01,1.558446437120437622e-01
1.537113487720489502e-01,1.557261496782302856e-01
1.541756987571716309e-01,1.561969816684722900e-01
1.537329405546188354e-01,1.557468026876449585e-01
1.533420979976654053e-01,1.553495824337005615e-01
1.531742066144943237e-01,1.551786661148071289e-01
1.530364006757736206e-01,1.550383567810058594e-01
1.530536413192749023e-01,1.550558954477310181e-01
1.530188620090484619e-01,1.550204902887344360e-01
1.530314832925796509e-01,1.550333499908447266e-01
1.530231088399887085e-01,1.550248265266418457e-01
1.530242860317230225e-01,1.550260186195373535e-01
1.530217975378036499e-01,1.550234854221343994e-01
1.530215591192245483e-01,1.550232321023941040e-01
1.530264317989349365e-01,1.550282090902328491e-01
1.530244499444961548e-01,1.550261974334716797e-01
1.530197709798812866e-01,1.550214290618896484e-01
1.530023515224456787e-01,1.550036817789077759e-01
1.527658253908157349e-01,1.547628939151763916e-01
1.525817960500717163e-01,1.545755565166473389e-01
1.511117815971374512e-01,1.530790179967880249e-01
1.511329263448715210e-01,1.531005352735519409e-01
1.513528674840927124e-01,1.533244401216506958e-01
1.502337902784347534e-01,1.521851271390914917e-01
1.497481614351272583e-01,1.516906917095184326e-01
1.481105685234069824e-01,1.500233709812164307e-01
1.479885876178741455e-01,1.498991549015045166e-01
