global_rmse,occupied_rmse,weighted_rmse
1.252637939453125000e+02,1.459098358154296875e+02,2.432280426025390625e+02
1.209001693725585938e+02,1.408269653320312500e+02,2.349238128662109375e+02
1.179553527832031250e+02,1.373967132568359375e+02,2.291671295166015625e+02
1.156809539794921875e+02,1.347473907470703125e+02,2.246969299316406250e+02
1.137137680053710938e+02,1.324558868408203125e+02,2.208492431640625000e+02
1.120984191894531250e+02,1.305742187500000000e+02,2.177733917236328125e+02
1.108944778442382812e+02,1.291717681884765625e+02,2.154358062744140625e+02
1.103267517089843750e+02,1.285104217529296875e+02,2.143856811523437500e+02
1.099762191772460938e+02,1.281020660400390625e+02,2.137684783935546875e+02
1.097510910034179688e+02,1.278397521972656250e+02,2.134111022949218750e+02
1.096319808959960938e+02,1.277009658813476562e+02,2.132297668457031250e+02
1.095851593017578125e+02,1.276463928222656250e+02,2.131647186279296875e+02
1.095338745117187500e+02,1.275866622924804688e+02,2.130953369140625000e+02
1.095338439941406250e+02,1.275866699218750000e+02,2.130938110351562500e+02
1.095324554443359375e+02,1.275851211547851562e+02,2.130908355712890625e+02
1.095292739868164062e+02,1.275815353393554688e+02,2.130846710205078125e+02
1.095292663574218750e+02,1.275816345214843750e+02,2.130839233398437500e+02
1.095296249389648438e+02,1.275820388793945312e+02,2.130843200683593750e+02
1.095292739868164062e+02,1.275817489624023438e+02,2.130830993652343750e+02
1.095341720581054688e+02,1.275875167846679688e+02,2.130860900878906250e+02
1.095321884155273438e+02,1.275851974487304688e+02,2.130843200683593750e+02
1.095330047607421875e+02,1.275861053466796875e+02,2.130853576660156250e+02
1.095313644409179688e+02,1.275841751098632812e+02,2.130844421386718750e+02
1.095334243774414062e+02,1.275865402221679688e+02,2.130863342285156250e+02
1.095210800170898438e+02,1.275721511840820312e+02,2.130764465332031250e+02
1.095114364624023438e+02,1.275608901977539062e+02,2.130690002441406250e+02
1.094984893798828125e+02,1.275457077026367188e+02,2.130588226318359375e+02
1.094931488037109375e+02,1.275394668579101562e+02,2.130538482666015625e+02
1.094977493286132812e+02,1.275448532104492188e+02,2.130572662353515625e+02
1.094926223754882812e+02,1.275387725830078125e+02,2.130536193847656250e+02
1.094794921875000000e+02,1.275233917236328125e+02,2.130435791015625000e+02
1.094728775024414062e+02,1.275156784057617188e+02,2.130382080078125000e+02
1.094600524902343750e+02,1.275007095336914062e+02,2.130278930664062500e+02
1.094399871826171875e+02,1.274773483276367188e+02,2.130086517333984375e+02
1.094137573242187500e+02,1.274468002319335938e+02,2.129835662841796875e+02
1.093888397216796875e+02,1.274177856445312500e+02,2.129588012695312500e+02
1.093402481079101562e+02,1.273611907958984375e+02,2.129125671386718750e+02
1.092187500000000000e+02,1.272196502685546875e+02,2.127906341552734375e+02
1.090825958251953125e+02,1.270610504150390625e+02,2.126427612304687500e+02
1.088358154296875000e+02,1.267735824584960938e+02,2.123686676025390625e+02
1.084748077392578125e+02,1.263530502319335938e+02,2.119560852050781250e+02
1.080664291381835938e+02,1.258773422241210938e+02,2.114533691406250000e+02
1.076846542358398438e+02,1.254326248168945312e+02,2.109731292724609375e+02
1.071280517578125000e+02,1.247842483520507812e+02,2.102175903320312500e+02
1.065279464721679688e+02,1.240852203369140625e+02,2.093662109375000000e+02
1.056750640869140625e+02,1.230917358398437500e+02,2.081066741943359375e+02
1.046417541503906250e+02,1.218881149291992188e+02,2.064792938232421875e+02
1.033463363647460938e+02,1.203791580200195312e+02,2.043891448974609375e+02
1.015159988403320312e+02,1.182471237182617188e+02,2.011944122314453125e+02
9.945308685302734375e+01,1.158442001342773438e+02,1.975013732910156250e+02
