global_rmse,occupied_rmse,weighted_rmse
1.192409515380859375e+02,1.338888702392578125e+02,2.080044403076171875e+02
1.192420425415039062e+02,1.338904113769531250e+02,2.080050964355468750e+02
1.192451705932617188e+02,1.338939514160156250e+02,2.080069732666015625e+02
1.192533950805664062e+02,1.339030303955078125e+02,2.080115661621093750e+02
1.192571105957031250e+02,1.339071502685546875e+02,2.080138702392578125e+02
1.192490768432617188e+02,1.338981781005859375e+02,2.080090179443359375e+02
1.192442703247070312e+02,1.338927764892578125e+02,2.080057220458984375e+02
1.192292098999023438e+02,1.338759002685546875e+02,2.079939117431640625e+02
1.192027053833007812e+02,1.338461914062500000e+02,2.079750823974609375e+02
1.191911773681640625e+02,1.338332519531250000e+02,2.079648742675781250e+02
1.191188201904296875e+02,1.337520141601562500e+02,2.079033508300781250e+02
1.190347747802734375e+02,1.336576538085937500e+02,2.078288116455078125e+02
1.188460006713867188e+02,1.334456787109375000e+02,2.076473388671875000e+02
1.184963684082031250e+02,1.330530700683593750e+02,2.072919921875000000e+02
1.180744781494140625e+02,1.325793609619140625e+02,2.068295898437500000e+02
1.175364151000976562e+02,1.319751892089843750e+02,2.062065124511718750e+02
1.168181152343750000e+02,1.311686401367187500e+02,2.053269958496093750e+02
1.158802871704101562e+02,1.301156158447265625e+02,2.041201171875000000e+02
1.149479141235351562e+02,1.290686950683593750e+02,2.028695068359375000e+02
1.142653961181640625e+02,1.283023223876953125e+02,2.019480895996093750e+02
1.140356597900390625e+02,1.280443572998046875e+02,2.016435852050781250e+02
1.139128646850585938e+02,1.279064865112304688e+02,2.014930114746093750e+02
1.138890609741210938e+02,1.278797531127929688e+02,2.014658050537109375e+02
1.138640670776367188e+02,1.278516921997070312e+02,2.014358978271484375e+02
1.138562316894531250e+02,1.278428955078125000e+02,2.014286041259765625e+02
1.138506317138671875e+02,1.278366088867187500e+02,2.014217834472656250e+02
1.138483734130859375e+02,1.278340682983398438e+02,2.014175567626953125e+02
1.138282775878906250e+02,1.278115005493164062e+02,2.013979187011718750e+02
1.137804412841796875e+02,1.277577819824218750e+02,2.013403778076171875e+02
1.136852111816406250e+02,1.276508560180664062e+02,2.012174224853515625e+02
1.134887084960937500e+02,1.274302215576171875e+02,2.009509887695312500e+02
1.130934753417968750e+02,1.269864349365234375e+02,2.003781433105468750e+02
1.127840881347656250e+02,1.266390380859375000e+02,1.999294433593750000e+02
1.124167175292968750e+02,1.262265319824218750e+02,1.993910522460937500e+02
1.120225982666015625e+02,1.257839889526367188e+02,1.988151092529296875e+02
1.119157104492187500e+02,1.256639862060546875e+02,1.986631622314453125e+02
1.118552017211914062e+02,1.255960464477539062e+02,1.985791320800781250e+02
1.117736587524414062e+02,1.255044708251953125e+02,1.984715576171875000e+02
1.117337875366210938e+02,1.254596939086914062e+02,1.984295196533203125e+02
1.117210311889648438e+02,1.254453735351562500e+02,1.984149780273437500e+02
1.117047576904296875e+02,1.254271011352539062e+02,1.983980712890625000e+02
1.117072677612304688e+02,1.254299240112304688e+02,1.984005432128906250e+02
1.117024993896484375e+02,1.254245529174804688e+02,1.983952636718750000e+02
1.116942749023437500e+02,1.254153289794921875e+02,1.983889770507812500e+02
1.116957168579101562e+02,1.254169387817382812e+02,1.983906402587890625e+02
1.116946411132812500e+02,1.254157409667968750e+02,1.983894195556640625e+02
1.116934967041015625e+02,1.254144515991210938e+02,1.983894500732421875e+02
1.116927795410156250e+02,1.254136428833007812e+02,1.983886718750000000e+02
1.116969985961914062e+02,1.254183731079101562e+02,1.983918304443359375e+02
1.116970748901367188e+02,1.254184341430664062e+02,1.983923645019531250e+02
1.116895828247070312e+02,1.254099349975585938e+02,1.983873138427734375e+02
1.116800384521484375e+02,1.253991851806640625e+02,1.983807830810546875e+02
1.116822280883789062e+02,1.254017944335937500e+02,1.983815002441406250e+02
1.116783294677734375e+02,1.253974304199218750e+02,1.983789520263671875e+02
1.116790466308593750e+02,1.253982543945312500e+02,1.983791809082031250e+02
1.116696624755859375e+02,1.253876647949218750e+02,1.983734893798828125e+02
1.116703567504882812e+02,1.253884582519531250e+02,1.983738861083984375e+02
1.116677780151367188e+02,1.253855438232421875e+02,1.983722534179687500e+02
1.116583557128906250e+02,1.253747558593750000e+02,1.983665771484375000e+02
1.116583404541015625e+02,1.253746643066406250e+02,1.983668212890625000e+02
1.116504058837890625e+02,1.253656692504882812e+02,1.983614959716796875e+02
1.116565017700195312e+02,1.253725967407226562e+02,1.983656005859375000e+02
1.116496734619140625e+02,1.253645858764648438e+02,1.983611297607421875e+02
1.116507339477539062e+02,1.253658752441406250e+02,1.983618927001953125e+02
1.116510696411132812e+02,1.253663711547851562e+02,1.983621368408203125e+02
1.116502609252929688e+02,1.253656616210937500e+02,1.983615417480468750e+02
1.116479263305664062e+02,1.253630676269531250e+02,1.983600769042968750e+02
1.116479949951171875e+02,1.253631362915039062e+02,1.983601379394531250e+02
1.116482238769531250e+02,1.253634185791015625e+02,1.983602447509765625e+02
1.116487655639648438e+02,1.253640747070312500e+02,1.983604278564453125e+02
1.116497192382812500e+02,1.253650665283203125e+02,1.983609313964843750e+02
1.116504592895507812e+02,1.253657913208007812e+02,1.983612670898437500e+02
1.116506118774414062e+02,1.253660278320312500e+02,1.983614654541015625e+02
1.116509704589843750e+02,1.253664016723632812e+02,1.983616027832031250e+02
1.116512374877929688e+02,1.253666992187500000e+02,1.983618927001953125e+02
1.116512832641601562e+02,1.253667526245117188e+02,1.983618469238281250e+02
1.116510467529296875e+02,1.253664779663085938e+02,1.983616943359375000e+02
1.116517562866210938e+02,1.253672637939453125e+02,1.983620910644531250e+02
1.116502914428710938e+02,1.253656463623046875e+02,1.983611297607421875e+02
1.116415634155273438e+02,1.253558578491210938e+02,1.983552551269531250e+02
1.116382751464843750e+02,1.253521957397460938e+02,1.983526763916015625e+02
1.116112976074218750e+02,1.253219146728515625e+02,1.983322601318359375e+02
1.115882263183593750e+02,1.252959976196289062e+02,1.983146514892578125e+02
1.115677413940429688e+02,1.252729797363281250e+02,1.982982025146484375e+02
1.115475311279296875e+02,1.252503051757812500e+02,1.982817077636718750e+02
1.115236663818359375e+02,1.252235183715820312e+02,1.982605133056640625e+02
1.115098800659179688e+02,1.252080459594726562e+02,1.982479095458984375e+02
1.114962921142578125e+02,1.251928024291992188e+02,1.982355957031250000e+02
1.114574432373046875e+02,1.251491775512695312e+02,1.982003936767578125e+02
1.113989334106445312e+02,1.250834884643554688e+02,1.981428833007812500e+02
1.113515930175781250e+02,1.250303344726562500e+02,1.980981445312500000e+02
1.113169937133789062e+02,1.249914779663085938e+02,1.980646820068359375e+02
1.112782516479492188e+02,1.249479827880859375e+02,1.980242309570312500e+02
1.111522674560546875e+02,1.248065261840820312e+02,1.978860168457031250e+02
1.110506896972656250e+02,1.246924514770507812e+02,1.977719421386718750e+02
1.108877792358398438e+02,1.245095443725585938e+02,1.975884094238281250e+02
1.106822433471679688e+02,1.242787628173828125e+02,1.973495483398437500e+02
1.104854278564453125e+02,1.240577697753906250e+02,1.971180419921875000e+02
1.103137283325195312e+02,1.238649826049804688e+02,1.969144897460937500e+02
1.102449264526367188e+02,1.237877273559570312e+02,1.968354492187500000e+02
1.102031936645507812e+02,1.237408752441406250e+02,1.967881011962890625e+02
1.101711883544921875e+02,1.237049331665039062e+02,1.967518615722656250e+02
1.101346664428710938e+02,1.236639328002929688e+02,1.967098083496093750e+02
1.101049728393554688e+02,1.236305847167968750e+02,1.966761016845703125e+02
1.100854797363281250e+02,1.236087036132812500e+02,1.966534423828125000e+02
1.100659713745117188e+02,1.235867996215820312e+02,1.966303100585937500e+02
1.100560836791992188e+02,1.235756988525390625e+02,1.966190795898437500e+02
1.100402526855468750e+02,1.235579147338867188e+02,1.966007385253906250e+02
1.100400161743164062e+02,1.235576400756835938e+02,1.966000823974609375e+02
1.100221939086914062e+02,1.235376358032226562e+02,1.965782623291015625e+02
1.100189590454101562e+02,1.235340118408203125e+02,1.965744018554687500e+02
1.100166473388671875e+02,1.235314025878906250e+02,1.965714263916015625e+02
1.100097045898437500e+02,1.235236129760742188e+02,1.965628509521484375e+02
1.100041580200195312e+02,1.235173873901367188e+02,1.965559082031250000e+02
1.099899597167968750e+02,1.235014419555664062e+02,1.965376129150390625e+02
1.099273986816406250e+02,1.234311904907226562e+02,1.964560089111328125e+02
1.098021469116210938e+02,1.232905578613281250e+02,1.962855529785156250e+02
1.096568679809570312e+02,1.231274261474609375e+02,1.960812530517578125e+02
1.095049819946289062e+02,1.229568862915039062e+02,1.958620147705078125e+02
1.091933822631835938e+02,1.226070022583007812e+02,1.953921966552734375e+02
1.087040100097656250e+02,1.220575256347656250e+02,1.946306762695312500e+02
1.081398239135742188e+02,1.214240112304687500e+02,1.937285003662109375e+02
1.077254104614257812e+02,1.209586944580078125e+02,1.930604400634765625e+02
1.072534866333007812e+02,1.204287872314453125e+02,1.923013916015625000e+02
1.063513183593750000e+02,1.194157791137695312e+02,1.908361206054687500e+02
1.056736984252929688e+02,1.186549301147460938e+02,1.897272949218750000e+02
1.047392578125000000e+02,1.176056900024414062e+02,1.881899566650390625e+02
1.039955902099609375e+02,1.167706527709960938e+02,1.869593200683593750e+02
1.030830230712890625e+02,1.157459869384765625e+02,1.854242553710937500e+02
1.017591247558593750e+02,1.142594375610351562e+02,1.832115936279296875e+02
1.009122467041015625e+02,1.133085250854492188e+02,1.817751159667968750e+02
1.002959747314453125e+02,1.126165390014648438e+02,1.807259826660156250e+02
9.957040405273437500e+01,1.118018341064453125e+02,1.795045776367187500e+02
9.884782409667968750e+01,1.109904785156250000e+02,1.783229980468750000e+02
9.842974090576171875e+01,1.105210342407226562e+02,1.776562805175781250e+02
9.800476074218750000e+01,1.100438461303710938e+02,1.770061035156250000e+02
9.778791046142578125e+01,1.098003540039062500e+02,1.766852111816406250e+02
9.766924285888671875e+01,1.096671066284179688e+02,1.765189361572265625e+02
