global_rmse,occupied_rmse,weighted_rmse
3.588296473026275635e-01,3.588296473026275635e-01,3.761584460735321045e-01
3.587786555290222168e-01,3.587786555290222168e-01,3.761150836944580078e-01
3.587485253810882568e-01,3.587485253810882568e-01,3.760901391506195068e-01
3.587541878223419189e-01,3.587541878223419189e-01,3.760958611965179443e-01
3.587467968463897705e-01,3.587467968463897705e-01,3.760898709297180176e-01
3.587535023689270020e-01,3.587535023689270020e-01,3.760962188243865967e-01
3.587592840194702148e-01,3.587592840194702148e-01,3.761009871959686279e-01
3.587692081928253174e-01,3.587692081928253174e-01,3.761098682880401611e-01
3.587861955165863037e-01,3.587861955165863037e-01,3.761229515075683594e-01
3.587811887264251709e-01,3.587811887264251709e-01,3.761183023452758789e-01
3.587707579135894775e-01,3.587707579135894775e-01,3.761087954044342041e-01
3.587678074836730957e-01,3.587678074836730957e-01,3.761080503463745117e-01
3.587920367717742920e-01,3.587920367717742920e-01,3.761307299137115479e-01
3.587552905082702637e-01,3.587552905082702637e-01,3.760956823825836182e-01
3.587853908538818359e-01,3.587853908538818359e-01,3.761261701583862305e-01
3.587891757488250732e-01,3.587891757488250732e-01,3.761296272277832031e-01
3.588055074214935303e-01,3.588055074214935303e-01,3.761442899703979492e-01
3.588065505027770996e-01,3.588065505027770996e-01,3.761456310749053955e-01
3.588065803050994873e-01,3.588065803050994873e-01,3.761447668075561523e-01
3.588707745075225830e-01,3.588707745075225830e-01,3.762089908123016357e-01
3.588730692863464355e-01,3.588730692863464355e-01,3.762118220329284668e-01
3.588927090167999268e-01,3.588927090167999268e-01,3.762326836585998535e-01
3.589289784431457520e-01,3.589289784431457520e-01,3.762701749801635742e-01
3.588879108428955078e-01,3.588879108428955078e-01,3.762277364730834961e-01
3.588585257530212402e-01,3.588585257530212402e-01,3.761969804763793945e-01
3.588911592960357666e-01,3.588911592960357666e-01,3.762332499027252197e-01
3.589290976524353027e-01,3.589290976524353027e-01,3.762786388397216797e-01
3.588952124118804932e-01,3.588952124118804932e-01,3.762402832508087158e-01
3.588929176330566406e-01,3.588929176330566406e-01,3.762379884719848633e-01
3.588904142379760742e-01,3.588904142379760742e-01,3.762343227863311768e-01
3.588454723358154297e-01,3.588454723358154297e-01,3.761778175830841064e-01
3.589159250259399414e-01,3.589159250259399414e-01,3.762667179107666016e-01
3.589358329772949219e-01,3.589358329772949219e-01,3.762917816638946533e-01
3.589030504226684570e-01,3.589030504226684570e-01,3.762500882148742676e-01
3.589005172252655029e-01,3.589005172252655029e-01,3.762459158897399902e-01
3.588786721229553223e-01,3.588786721229553223e-01,3.762210309505462646e-01
3.588397502899169922e-01,3.588397502899169922e-01,3.761751055717468262e-01
3.588204085826873779e-01,3.588204085826873779e-01,3.761548101902008057e-01
3.588421344757080078e-01,3.588421344757080078e-01,3.761785328388214111e-01
3.588745594024658203e-01,3.588745594024658203e-01,3.762149512767791748e-01
3.588773608207702637e-01,3.588773608207702637e-01,3.762185573577880859e-01
3.589004576206207275e-01,3.589004576206207275e-01,3.762388825416564941e-01
3.589259386062622070e-01,3.589259386062622070e-01,3.762620389461517334e-01
3.588995933532714844e-01,3.588995933532714844e-01,3.762412071228027344e-01
3.589426577091217041e-01,3.589426577091217041e-01,3.762781918048858643e-01
3.590131402015686035e-01,3.590131402015686035e-01,3.763350844383239746e-01
3.590217530727386475e-01,3.590217530727386475e-01,3.763414621353149414e-01
3.590546250343322754e-01,3.590546250343322754e-01,3.763677477836608887e-01
3.590630292892456055e-01,3.590630292892456055e-01,3.763754367828369141e-01
