global_rmse,occupied_rmse
1.405358910560607910e-01,1.503638774156570435e-01
1.405283063650131226e-01,1.503814309835433960e-01
1.405679434537887573e-01,1.503896713256835938e-01
1.405534893274307251e-01,1.503871232271194458e-01
1.407126486301422119e-01,1.505477130413055420e-01
1.406949013471603394e-01,1.505259722471237183e-01
1.404338628053665161e-01,1.502329409122467041e-01
1.403523534536361694e-01,1.501192003488540649e-01
1.407116800546646118e-01,1.505684852600097656e-01
1.404256969690322876e-01,1.502547264099121094e-01
1.405498534440994263e-01,1.503720134496688843e-01
1.405394375324249268e-01,1.503734886646270752e-01
1.400941312313079834e-01,1.498921364545822144e-01
1.403073668479919434e-01,1.501264870166778564e-01
1.402313113212585449e-01,1.500302851200103760e-01
1.394993811845779419e-01,1.492448896169662476e-01
1.380651444196701050e-01,1.477009057998657227e-01
1.383727490901947021e-01,1.480328738689422607e-01
1.385282725095748901e-01,1.482003480195999146e-01
1.368941515684127808e-01,1.464372426271438599e-01
1.369137465953826904e-01,1.464584320783615112e-01
1.357534229755401611e-01,1.452068239450454712e-01
1.348985284566879272e-01,1.442845165729522705e-01
1.337243169546127319e-01,1.430175751447677612e-01
1.326479017734527588e-01,1.418560445308685303e-01
1.318665593862533569e-01,1.410129517316818237e-01
1.305815130472183228e-01,1.396258175373077393e-01
1.301134824752807617e-01,1.391206979751586914e-01
1.288309395313262939e-01,1.377356648445129395e-01
1.278520971536636353e-01,1.366773545742034912e-01
1.270734369754791260e-01,1.358341425657272339e-01
1.261885166168212891e-01,1.348736882209777832e-01
1.249630153179168701e-01,1.335185170173645020e-01
1.242391690611839294e-01,1.327364444732666016e-01
1.233934238553047180e-01,1.318428814411163330e-01
1.223796382546424866e-01,1.307291239500045776e-01
1.215565130114555359e-01,1.298301070928573608e-01
1.195379272103309631e-01,1.276772469282150269e-01
1.189011037349700928e-01,1.270002275705337524e-01
1.180757060647010803e-01,1.261144876480102539e-01
1.171737462282180786e-01,1.251444369554519653e-01
1.165502816438674927e-01,1.244696155190467834e-01
1.167734935879707336e-01,1.247123703360557556e-01
1.158795356750488281e-01,1.237456798553466797e-01
1.156970486044883728e-01,1.235489249229431152e-01
1.150277480483055115e-01,1.228255033493041992e-01
1.133617609739303589e-01,1.210249289870262146e-01
1.132700890302658081e-01,1.209258437156677246e-01
1.120513603091239929e-01,1.196084469556808472e-01
1.108255311846733093e-01,1.182831898331642151e-01
1.101552024483680725e-01,1.175583973526954651e-01
1.101617589592933655e-01,1.175654903054237366e-01
1.099459007382392883e-01,1.173321008682250977e-01
1.083200052380561829e-01,1.155738309025764465e-01
1.075909882783889771e-01,1.147853359580039978e-01
1.065206378698348999e-01,1.136275306344032288e-01
1.062423437833786011e-01,1.133264675736427307e-01
1.053538993000984192e-01,1.123652905225753784e-01
1.047159731388092041e-01,1.116750612854957581e-01
1.042268946766853333e-01,1.111458316445350647e-01
1.029429212212562561e-01,1.097562983632087708e-01
1.021893173456192017e-01,1.089406087994575500e-01
1.007756069302558899e-01,1.074102073907852173e-01
1.003911197185516357e-01,1.069939136505126953e-01
9.919037669897079468e-02,1.056936979293823242e-01
9.857904165983200073e-02,1.050316169857978821e-01
9.819575399160385132e-02,1.046164706349372864e-01
9.747835993766784668e-02,1.038393750786781311e-01
9.642297029495239258e-02,1.026959642767906189e-01
9.575892239809036255e-02,1.019764170050621033e-01
9.475264698266983032e-02,1.008857339620590210e-01
9.434682875871658325e-02,1.004456654191017151e-01
9.416593611240386963e-02,1.002494245767593384e-01
9.394630789756774902e-02,1.000112891197204590e-01
9.299256652593612671e-02,9.897521883249282837e-02
9.273874014616012573e-02,9.869856387376785278e-02
9.225571155548095703e-02,9.816712141036987305e-02
9.232595562934875488e-02,9.824414551258087158e-02
9.256335347890853882e-02,9.850584715604782104e-02
9.221038967370986938e-02,9.807696938514709473e-02
9.204597771167755127e-02,9.790798276662826538e-02
9.181320667266845703e-02,9.759051352739334106e-02
9.195832908153533936e-02,9.780371189117431641e-02
9.187615662813186646e-02,9.769762307405471802e-02
9.158907830715179443e-02,9.736457467079162598e-02
9.159594029188156128e-02,9.730231761932373047e-02
9.153807163238525391e-02,9.715700894594192505e-02
9.151283651590347290e-02,9.706265479326248169e-02
9.191468358039855957e-02,9.762882441282272339e-02
9.144472330808639526e-02,9.708973765373229980e-02
9.118063747882843018e-02,9.669052064418792725e-02
9.094981849193572998e-02,9.648777544498443604e-02
9.099959582090377808e-02,9.648220986127853394e-02
9.090921282768249512e-02,9.649455547332763672e-02
9.065584093332290649e-02,9.635752439498901367e-02
9.070009738206863403e-02,9.635442495346069336e-02
9.072982519865036011e-02,9.637133777141571045e-02
9.072904288768768311e-02,9.635567665100097656e-02
9.072534739971160889e-02,9.633106738328933716e-02
9.078031778335571289e-02,9.635900706052780151e-02
9.050076454877853394e-02,9.604729712009429932e-02
9.037916362285614014e-02,9.596892446279525757e-02
9.037734568119049072e-02,9.590566903352737427e-02
9.032320231199264526e-02,9.586821496486663818e-02
9.039526432752609253e-02,9.589090943336486816e-02
9.026834368705749512e-02,9.591966867446899414e-02
9.039890766143798828e-02,9.605751186609268188e-02
9.040091186761856079e-02,9.605080634355545044e-02
9.036853909492492676e-02,9.598474204540252686e-02
9.035172313451766968e-02,9.603476524353027344e-02
9.042569994926452637e-02,9.612317383289337158e-02
9.074923396110534668e-02,9.652321785688400269e-02
9.062528610229492188e-02,9.629210829734802246e-02
9.061619639396667480e-02,9.632280468940734863e-02
9.072279185056686401e-02,9.646060317754745483e-02
9.068535268306732178e-02,9.643656015396118164e-02
8.948499709367752075e-02,9.514599293470382690e-02
9.009748697280883789e-02,9.581167995929718018e-02
8.997755497694015503e-02,9.568393975496292114e-02
8.905875682830810547e-02,9.468697756528854370e-02
8.942284435033798218e-02,9.508271515369415283e-02
8.880215883255004883e-02,9.440881013870239258e-02
8.844034373760223389e-02,9.401612728834152222e-02
8.796317130327224731e-02,9.349808841943740845e-02
8.646017313003540039e-02,9.186599403619766235e-02
8.560531586408615112e-02,9.093739092350006104e-02
8.600016683340072632e-02,9.136628359556198120e-02
8.552777767181396484e-02,9.085316956043243408e-02
8.405001461505889893e-02,8.924753218889236450e-02
8.409739285707473755e-02,8.929901570081710815e-02
8.283823728561401367e-02,8.793038874864578247e-02
8.151414990425109863e-02,8.649063110351562500e-02
8.264439553022384644e-02,8.771962672472000122e-02
8.170033246278762817e-02,8.669312298297882080e-02
8.012835681438446045e-02,8.498319238424301147e-02
8.010725677013397217e-02,8.496023714542388916e-02
7.850988954305648804e-02,8.322177827358245850e-02
7.875038683414459229e-02,8.348356932401657104e-02
7.789026945829391479e-02,8.254717290401458740e-02
7.608105987310409546e-02,8.057656139135360718e-02
7.457916438579559326e-02,7.893963158130645752e-02
7.298826426267623901e-02,7.720462232828140259e-02
7.232845574617385864e-02,7.648469507694244385e-02
7.195559889078140259e-02,7.607776671648025513e-02
7.190217077732086182e-02,7.601942867040634155e-02
7.154128700494766235e-02,7.562549412250518799e-02
7.151599228382110596e-02,7.559788227081298828e-02
7.023152709007263184e-02,7.419498264789581299e-02
6.975460797548294067e-02,7.367405295372009277e-02
6.932708621025085449e-02,7.320680469274520874e-02
