timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
1.000000000000000000e+00,5.243182182312011719e-02,1.128925010561943054e-01,6.503926962614059448e-02,2.616497437936801163e+01
2.000000000000000000e+00,1.187624931335449219e-01,1.129019334912300110e-01,6.503847241401672363e-02,2.605120818083740630e+01
3.000000000000000000e+00,3.184754848480224609e-01,1.110223308205604553e-01,6.502581387758255005e-02,2.594095120535551047e+01
4.000000000000000000e+00,3.818120956420898438e-01,1.099493950605392456e-01,6.505729258060455322e-02,2.572688813986466982e+01
5.000000000000000000e+00,4.599280357360839844e-01,1.059290096163749695e-01,6.507571041584014893e-02,2.545390070040794939e+01
6.000000000000000000e+00,5.365407466888427734e-01,1.053167581558227539e-01,6.483626365661621094e-02,2.532231677275432702e+01
7.000000000000000000e+00,6.104483604431152344e-01,1.041914373636245728e-01,6.476908922195434570e-02,2.517014865530771672e+01
8.000000000000000000e+00,6.902146339416503906e-01,1.026797816157341003e-01,6.454041600227355957e-02,2.486779824917716297e+01
9.000000000000000000e+00,7.843186855316162109e-01,1.019520312547683716e-01,6.437230110168457031e-02,2.472036313160804255e+01
1.000000000000000000e+01,8.421835899353027344e-01,1.016260385513305664e-01,6.472355127334594727e-02,2.452662061638003266e+01
1.100000000000000000e+01,9.053261280059814453e-01,1.009066551923751831e-01,6.461485475301742554e-02,2.443786900372140991e+01
1.200000000000000000e+01,9.685297012329101562e-01,9.996747970581054688e-02,6.454829871654510498e-02,2.420914480743525132e+01
1.300000000000000000e+01,1.035037755966186523e+00,9.890184551477432251e-02,6.560394912958145142e-02,2.384684303035351860e+01
1.400000000000000000e+01,1.113761901855468750e+00,9.886465221643447876e-02,6.496315449476242065e-02,2.366201752425878979e+01
1.500000000000000000e+01,1.177390336990356445e+00,9.896650165319442749e-02,6.488823145627975464e-02,2.357854407327174329e+01
1.600000000000000000e+01,1.240572690963745117e+00,9.822316467761993408e-02,6.515642255544662476e-02,2.350094300415799964e+01
1.700000000000000000e+01,1.303970098495483398e+00,9.725029766559600830e-02,6.490264087915420532e-02,2.342815835676194780e+01
1.800000000000000000e+01,1.351783275604248047e+00,9.708924591541290283e-02,6.558328866958618164e-02,2.327065728602748607e+01
1.900000000000000000e+01,1.454609155654907227e+00,9.503460675477981567e-02,6.568843871355056763e-02,2.303913611735742606e+01
2.000000000000000000e+01,1.575468778610229492e+00,9.477131068706512451e-02,6.703284382820129395e-02,2.289406005698632640e+01
2.100000000000000000e+01,1.687168598175048828e+00,9.422792494297027588e-02,6.613625586032867432e-02,2.276478327758084674e+01
2.200000000000000000e+01,1.816777944564819336e+00,9.343364089727401733e-02,6.454284489154815674e-02,2.247387583189128435e+01
2.300000000000000000e+01,1.948184967041015625e+00,9.263115376234054565e-02,6.463160365819931030e-02,2.228326996102447310e+01
2.400000000000000000e+01,2.105030059814453125e+00,9.253919869661331177e-02,6.595400720834732056e-02,2.197842424326491795e+01
2.500000000000000000e+01,2.276952505111694336e+00,9.202370792627334595e-02,6.496758013963699341e-02,2.186833284850993664e+01
2.600000000000000000e+01,2.415681362152099609e+00,9.137828648090362549e-02,6.414990127086639404e-02,2.175552392110370903e+01
2.700000000000000000e+01,2.535844564437866211e+00,9.135993570089340210e-02,6.402874737977981567e-02,2.168778239313687450e+01
2.800000000000000000e+01,2.649327993392944336e+00,9.026406705379486084e-02,6.345682591199874878e-02,2.160372233274642184e+01
2.900000000000000000e+01,2.779706954956054688e+00,9.012123197317123413e-02,6.344023346900939941e-02,2.145644793346835755e+01
3.000000000000000000e+01,2.951578378677368164e+00,8.927726745605468750e-02,6.319402158260345459e-02,2.128359467078814404e+01
3.100000000000000000e+01,3.123489618301391602e+00,8.763303607702255249e-02,6.192045658826828003e-02,2.108503038604920476e+01
3.200000000000000000e+01,3.295326709747314453e+00,8.754052221775054932e-02,6.146124377846717834e-02,2.096111728984820033e+01
