timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
1.000000000000000000e+00,7.566308975219726562e-02,1.507059782743453979e-01,8.522772789001464844e-02,2.616497437936801163e+01
2.000000000000000000e+00,1.520998477935791016e-01,1.509102135896682739e-01,8.596681058406829834e-02,2.605120818083740630e+01
3.000000000000000000e+00,5.920155048370361328e-01,1.504623889923095703e-01,8.498507738113403320e-02,2.594095120535551047e+01
4.000000000000000000e+00,6.906776428222656250e-01,1.506289392709732056e-01,8.492179960012435913e-02,2.572688813986466982e+01
5.000000000000000000e+00,7.932529449462890625e-01,1.502120345830917358e-01,8.437882363796234131e-02,2.557958552113042572e+01
6.000000000000000000e+00,9.046468734741210938e-01,1.499577462673187256e-01,8.457083255052566528e-02,2.525666592789974629e+01
7.000000000000000000e+00,1.013861656188964844e+00,1.499359309673309326e-01,8.326697349548339844e-02,2.511948455392148105e+01
8.000000000000000000e+00,1.121598243713378906e+00,1.493436247110366821e-01,8.304249495267868042e-02,2.500860308143489519e+01
9.000000000000000000e+00,1.247951507568359375e+00,1.485628485679626465e-01,8.338501304388046265e-02,2.471380417170450272e+01
1.000000000000000000e+01,1.378496646881103516e+00,1.477145552635192871e-01,8.325157314538955688e-02,2.449887085554889765e+01
1.100000000000000000e+01,1.506826400756835938e+00,1.477740406990051270e-01,8.261120319366455078e-02,2.442372989879128653e+01
1.200000000000000000e+01,1.610534429550170898e+00,1.466250866651535034e-01,8.214159309864044189e-02,2.428248203657727800e+01
1.300000000000000000e+01,1.711661577224731445e+00,1.457728296518325806e-01,8.334608376026153564e-02,2.411185102843781536e+01
1.400000000000000000e+01,1.812130689620971680e+00,1.450662463903427124e-01,8.151906728744506836e-02,2.401787801956766444e+01
1.500000000000000000e+01,1.936572790145874023e+00,1.429505050182342529e-01,8.218870311975479126e-02,2.373875886085549780e+01
1.600000000000000000e+01,2.121506929397583008e+00,1.422290802001953125e-01,8.138730376958847046e-02,2.358559703361511239e+01
1.700000000000000000e+01,2.327185630798339844e+00,1.417524069547653198e-01,8.020278066396713257e-02,2.329498646068895340e+01
1.800000000000000000e+01,2.510376691818237305e+00,1.397433876991271973e-01,8.035770803689956665e-02,2.296029515807946453e+01
