timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
1.000000000000000000e+00,4.984545707702636719e-02,1.128925010561943054e-01,6.503926962614059448e-02,2.616497437936801163e+01
2.000000000000000000e+00,9.838986396789550781e-02,1.129019334912300110e-01,6.503847241401672363e-02,2.605120818083740630e+01
3.000000000000000000e+00,1.789894104003906250e-01,1.123579964041709900e-01,6.502019613981246948e-02,2.597589034789836404e+01
4.000000000000000000e+00,2.287681102752685547e-01,1.099659278988838196e-01,6.500318646430969238e-02,2.572850504239140790e+01
5.000000000000000000e+00,2.964150905609130859e-01,1.091646254062652588e-01,6.484048068523406982e-02,2.562186683109031904e+01
6.000000000000000000e+00,3.883733749389648438e-01,1.076923981308937073e-01,6.473930180072784424e-02,2.548893992256203944e+01
7.000000000000000000e+00,4.619135856628417969e-01,1.055735349655151367e-01,6.506106257438659668e-02,2.529619025827155809e+01
8.000000000000000000e+00,5.285036563873291016e-01,1.048437878489494324e-01,6.469743698835372925e-02,2.516960270772506547e+01
9.000000000000000000e+00,6.123180389404296875e-01,1.038658022880554199e-01,6.447811424732208252e-02,2.500808375581046406e+01
1.000000000000000000e+01,7.187700271606445312e-01,1.038412749767303467e-01,6.451623141765594482e-02,2.488653191212021198e+01
1.100000000000000000e+01,8.312940597534179688e-01,1.039723604917526245e-01,6.441748887300491333e-02,2.472501719467059189e+01
1.200000000000000000e+01,9.168643951416015625e-01,1.036540940403938293e-01,6.423150748014450073e-02,2.454822841488584828e+01
1.300000000000000000e+01,1.013095617294311523e+00,1.033980622887611389e-01,6.417199224233627319e-02,2.436947038252592534e+01
1.400000000000000000e+01,1.101359844207763672e+00,1.027184724807739258e-01,6.436052173376083374e-02,2.419019245299854504e+01
1.500000000000000000e+01,1.244313001632690430e+00,1.025405079126358032e-01,6.418488919734954834e-02,2.401070667440495754e+01
1.600000000000000000e+01,1.454024553298950195e+00,1.030177548527717590e-01,6.528441607952117920e-02,2.383113398568053043e+01
1.700000000000000000e+01,1.598583698272705078e+00,1.027740091085433960e-01,6.434632837772369385e-02,2.370670222619362733e+01
1.800000000000000000e+01,1.762684106826782227e+00,1.031591147184371948e-01,6.488037854433059692e-02,2.354421297521953704e+01
1.900000000000000000e+01,1.892902612686157227e+00,1.021293550729751587e-01,6.390024721622467041e-02,2.336701320077667532e+01
2.000000000000000000e+01,2.044769525527954102e+00,1.011684685945510864e-01,6.352348625659942627e-02,2.318809752960787662e+01
2.100000000000000000e+01,2.261367321014404297e+00,1.014996170997619629e-01,6.355694681406021118e-02,2.312666288120874469e+01
2.200000000000000000e+01,2.411184072494506836e+00,1.018470302224159241e-01,6.382086873054504395e-02,2.298577274883222543e+01
2.300000000000000000e+01,2.581330060958862305e+00,1.007746607065200806e-01,6.289733201265335083e-02,2.287638513063019019e+01
2.400000000000000000e+01,2.763380050659179688e+00,1.012054830789566040e-01,6.299948692321777344e-02,2.272119581413206646e+01
2.500000000000000000e+01,2.933991909027099609e+00,1.007370352745056152e-01,6.294695287942886353e-02,2.266300545055185367e+01
2.600000000000000000e+01,3.134281873703002930e+00,1.006372123956680298e-01,6.323720514774322510e-02,2.262938113334839585e+01
2.700000000000000000e+01,3.300679683685302734e+00,1.003615558147430420e-01,6.347380578517913818e-02,2.260652449634058669e+01
2.800000000000000000e+01,3.450552701950073242e+00,1.000310108065605164e-01,6.330630928277969360e-02,2.258958314333340667e+01
2.900000000000000000e+01,3.627668142318725586e+00,1.000887677073478699e-01,6.337691098451614380e-02,2.257633091211904741e+01
3.000000000000000000e+01,3.783808231353759766e+00,9.993486106395721436e-02,6.332904845476150513e-02,2.256516997607135977e+01
3.100000000000000000e+01,4.016852617263793945e+00,9.995227307081222534e-02,6.332662701606750488e-02,2.254808511311242825e+01
3.200000000000000000e+01,4.176439523696899414e+00,9.944345802068710327e-02,6.330633908510208130e-02,2.252281286314887154e+01
3.300000000000000000e+01,4.344041585922241211e+00,9.957890212535858154e-02,6.329359114170074463e-02,2.248745121602766517e+01
3.400000000000000000e+01,4.497702836990356445e+00,9.819782525300979614e-02,6.329406797885894775e-02,2.244320839219314223e+01
3.500000000000000000e+01,4.676279067993164062e+00,9.760940074920654297e-02,6.328044831752777100e-02,2.239228097300463105e+01
3.600000000000000000e+01,4.894023895263671875e+00,9.707146883010864258e-02,6.326455622911453247e-02,2.233495355167525531e+01
3.700000000000000000e+01,5.044154882431030273e+00,9.545301645994186401e-02,6.325530260801315308e-02,2.221824714625089925e+01
3.800000000000000000e+01,5.210627317428588867e+00,9.462101757526397705e-02,6.320367753505706787e-02,2.212319131115455662e+01
3.900000000000000000e+01,5.410274744033813477e+00,9.149955958127975464e-02,6.299664825201034546e-02,2.179454651680277877e+01
4.000000000000000000e+01,5.625889301300048828e+00,9.053047001361846924e-02,6.295595318078994751e-02,2.170680621429969648e+01
4.100000000000000000e+01,5.810488700866699219e+00,8.927626907825469971e-02,6.291884928941726685e-02,2.160052621001019446e+01
4.200000000000000000e+01,6.043348073959350586e+00,8.692976832389831543e-02,6.282473355531692505e-02,2.142492449167396984e+01
4.300000000000000000e+01,6.243397712707519531e+00,8.565714210271835327e-02,6.270530074834823608e-02,2.128496088170519585e+01
4.400000000000000000e+01,6.436505317687988281e+00,8.511988818645477295e-02,6.266999244689941406e-02,2.115157760298395573e+01
4.500000000000000000e+01,6.626354455947875977e+00,8.417925238609313965e-02,6.248716264963150024e-02,2.097179098535539055e+01
4.600000000000000000e+01,6.817575454711914062e+00,8.360679447650909424e-02,6.250331550836563110e-02,2.083589481404174393e+01
4.700000000000000000e+01,6.992945671081542969e+00,8.347392082214355469e-02,6.250604987144470215e-02,2.065276829880343357e+01
4.800000000000000000e+01,7.226594209671020508e+00,8.342108875513076782e-02,6.254091858863830566e-02,2.050933717063687567e+01
4.900000000000000000e+01,7.425940275192260742e+00,8.325707167387008667e-02,6.248601898550987244e-02,2.037465415755450593e+01
5.000000000000000000e+01,7.624845027923583984e+00,8.312085270881652832e-02,6.228958815336227417e-02,2.024290328598089417e+01
5.100000000000000000e+01,7.826147556304931641e+00,8.316002786159515381e-02,6.224508583545684814e-02,2.011234070692801268e+01
5.200000000000000000e+01,8.009246826171875000e+00,8.315287530422210693e-02,6.231630593538284302e-02,1.998224992646873233e+01
5.300000000000000000e+01,8.225785255432128906e+00,8.293646574020385742e-02,6.193370372056961060e-02,1.985235253081377138e+01
