timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
1.000000000000000000e+00,5.403566360473632812e-02,8.962963521480560303e-02,7.076690346002578735e-02,2.616497437936801163e+01
2.000000000000000000e+00,1.130349636077880859e-01,8.975432813167572021e-02,7.099681347608566284e-02,2.605120818083740630e+01
3.000000000000000000e+00,1.818950176239013672e-01,8.962161839008331299e-02,7.063727080821990967e-02,2.594095120535551047e+01
4.000000000000000000e+00,2.408654689788818359e-01,8.963452279567718506e-02,7.064307481050491333e-02,2.586561591631905799e+01
5.000000000000000000e+00,3.011553287506103516e-01,8.937791734933853149e-02,7.059424370527267456e-02,2.566795067899431260e+01
6.000000000000000000e+00,3.782615661621093750e-01,8.915406465530395508e-02,7.009930908679962158e-02,2.556522359725285654e+01
7.000000000000000000e+00,4.616622924804687500e-01,8.932694047689437866e-02,7.015663385391235352e-02,2.543314105901650990e+01
8.000000000000000000e+00,5.319874286651611328e-01,8.896934241056442261e-02,6.971354782581329346e-02,2.516955840099102915e+01
9.000000000000000000e+00,5.943453311920166016e-01,8.899049460887908936e-02,6.978827714920043945e-02,2.498583731539364905e+01
1.000000000000000000e+01,6.573457717895507812e-01,8.903682231903076172e-02,6.972846388816833496e-02,2.480541655086044273e+01
1.100000000000000000e+01,7.213397026062011719e-01,8.881293237209320068e-02,6.952112168073654175e-02,2.468996460380908076e+01
1.200000000000000000e+01,7.853767871856689453e-01,8.797618001699447632e-02,6.852156668901443481e-02,2.453284047666427981e+01
1.300000000000000000e+01,8.493742942810058594e-01,8.822203427553176880e-02,6.877768784761428833e-02,2.435907450791453854e+01
1.400000000000000000e+01,9.233407974243164062e-01,8.803731203079223633e-02,6.859230995178222656e-02,2.405081466328103801e+01
1.500000000000000000e+01,9.984679222106933594e-01,8.746784925460815430e-02,6.800905615091323853e-02,2.383125226309647360e+01
1.600000000000000000e+01,1.072628021240234375e+00,8.732451498508453369e-02,6.773302704095840454e-02,2.362725967357830115e+01
1.700000000000000000e+01,1.148351192474365234e+00,8.695478737354278564e-02,6.773085147142410278e-02,2.341756181520362645e+01
1.800000000000000000e+01,1.221316099166870117e+00,8.624868839979171753e-02,6.737817078828811646e-02,2.320714067699198324e+01
1.900000000000000000e+01,1.287003993988037109e+00,8.569848537445068359e-02,6.713719666004180908e-02,2.301421487770583951e+01
2.000000000000000000e+01,1.350845336914062500e+00,8.470072597265243530e-02,6.663416326045989990e-02,2.282667078302765518e+01
2.100000000000000000e+01,1.418922901153564453e+00,8.440512418746948242e-02,6.656525284051895142e-02,2.270985174382936123e+01
2.200000000000000000e+01,1.489778041839599609e+00,8.451300114393234253e-02,6.675788015127182007e-02,2.248264405171531166e+01
2.300000000000000000e+01,1.559233903884887695e+00,8.426996320486068726e-02,6.671955436468124390e-02,2.235389087706661115e+01
2.400000000000000000e+01,1.620877504348754883e+00,8.363150805234909058e-02,6.673508882522583008e-02,2.217179592216369599e+01
2.500000000000000000e+01,1.681988477706909180e+00,8.407867699861526489e-02,6.729472428560256958e-02,2.205473428689444404e+01
2.600000000000000000e+01,1.759244441986083984e+00,8.350683748722076416e-02,6.671497970819473267e-02,2.185716885401915732e+01
2.700000000000000000e+01,1.836891889572143555e+00,8.269537240266799927e-02,6.573486328125000000e-02,2.170535057719751393e+01
2.800000000000000000e+01,1.913208723068237305e+00,8.216764032840728760e-02,6.533317267894744873e-02,2.151389827874888994e+01
2.900000000000000000e+01,1.990132570266723633e+00,8.229735493659973145e-02,6.588509678840637207e-02,2.142896676181842253e+01
3.000000000000000000e+01,2.067133188247680664e+00,8.192366361618041992e-02,6.568817794322967529e-02,2.126046638097284358e+01
3.100000000000000000e+01,2.142847299575805664e+00,8.087145537137985229e-02,6.386298686265945435e-02,2.105486967829474665e+01
3.200000000000000000e+01,2.218928813934326172e+00,8.056493103504180908e-02,6.392373889684677124e-02,2.084435166565127417e+01
3.300000000000000000e+01,2.296963691711425781e+00,7.897916436195373535e-02,6.263236701488494873e-02,2.063272699422376277e+01
3.400000000000000000e+01,2.415344715118408203e+00,7.911933213472366333e-02,6.271659582853317261e-02,2.049154705112367481e+01
3.500000000000000000e+01,2.510300636291503906e+00,7.838791608810424805e-02,6.264013797044754028e-02,2.035704017444865244e+01
3.600000000000000000e+01,2.571407318115234375e+00,7.716550678014755249e-02,6.304923444986343384e-02,2.015975695810788437e+01
3.700000000000000000e+01,2.679413318634033203e+00,7.648877054452896118e-02,6.291171908378601074e-02,2.005168405559525979e+01
3.800000000000000000e+01,2.821408033370971680e+00,7.627533376216888428e-02,6.241260841488838196e-02,1.989610350861779153e+01
3.900000000000000000e+01,2.957304477691650391e+00,7.601340115070343018e-02,6.265424937009811401e-02,1.979407426555130201e+01
4.000000000000000000e+01,3.097878932952880859e+00,7.434355467557907104e-02,6.253099441528320312e-02,1.954281037559704259e+01
4.100000000000000000e+01,3.254775762557983398e+00,7.181228697299957275e-02,6.212003156542778015e-02,1.930804789157005885e+01
4.200000000000000000e+01,3.431846857070922852e+00,7.178826630115509033e-02,6.154406070709228516e-02,1.918680618798724780e+01
4.300000000000000000e+01,3.581571578979492188e+00,7.206016778945922852e-02,6.171229481697082520e-02,1.910661013097203664e+01
4.400000000000000000e+01,3.736486196517944336e+00,7.200525701045989990e-02,6.174841895699501038e-02,1.908388529513816678e+01
4.500000000000000000e+01,3.899880647659301758e+00,7.204992324113845825e-02,6.176829710602760315e-02,1.906515353820991976e+01
4.600000000000000000e+01,4.095280885696411133e+00,7.208761572837829590e-02,6.180192902684211731e-02,1.904932057026244152e+01
4.700000000000000000e+01,4.206862926483154297e+00,7.199209183454513550e-02,6.169358268380165100e-02,1.903472136314571372e+01
4.800000000000000000e+01,4.331042528152465820e+00,7.185848802328109741e-02,6.163695827126502991e-02,1.900254657541353964e+01
4.900000000000000000e+01,4.478703022003173828e+00,7.199056446552276611e-02,6.173654273152351379e-02,1.898300354482791263e+01
5.000000000000000000e+01,4.652850389480590820e+00,7.193142175674438477e-02,6.168692559003829956e-02,1.896880513420733294e+01
5.100000000000000000e+01,4.928848743438720703e+00,7.184711843729019165e-02,6.157210469245910645e-02,1.895676550124628079e+01
5.200000000000000000e+01,5.164943456649780273e+00,7.178747653961181641e-02,6.144566088914871216e-02,1.894510727331248034e+01
5.300000000000000000e+01,5.430850744247436523e+00,7.177337259054183960e-02,6.145938485860824585e-02,1.893216602173824370e+01
5.400000000000000000e+01,5.690844058990478516e+00,7.184261828660964966e-02,6.157715991139411926e-02,1.888495620622906301e+01
5.500000000000000000e+01,5.918843746185302734e+00,7.147589325904846191e-02,6.105234846472740173e-02,1.884746087724289154e+01
5.600000000000000000e+01,6.168848991394042969e+00,7.177622616291046143e-02,6.152639910578727722e-02,1.880960573179463324e+01
5.700000000000000000e+01,6.433845758438110352e+00,7.129304856061935425e-02,6.078682839870452881e-02,1.876672027623984462e+01
5.800000000000000000e+01,6.674931526184082031e+00,7.157047092914581299e-02,6.120927259325981140e-02,1.865770357628230158e+01
5.900000000000000000e+01,6.916845321655273438e+00,7.161031663417816162e-02,6.126949191093444824e-02,1.861074886953116447e+01
6.000000000000000000e+01,7.076988935470581055e+00,7.129985839128494263e-02,6.079258024692535400e-02,1.852511920328847594e+01
6.100000000000000000e+01,7.244333028793334961e+00,7.133540511131286621e-02,6.083674356341362000e-02,1.840778318147454939e+01
6.200000000000000000e+01,7.431648015975952148e+00,7.101868093013763428e-02,6.035179644823074341e-02,1.827611853557148436e+01
6.300000000000000000e+01,7.609752416610717773e+00,7.073816657066345215e-02,5.993388220667839050e-02,1.820763334985543125e+01
6.400000000000000000e+01,7.797376155853271484e+00,7.073651999235153198e-02,5.993317440152168274e-02,1.815163356122918259e+01
6.500000000000000000e+01,7.996882915496826172e+00,7.097526639699935913e-02,6.030138209462165833e-02,1.803772290222181951e+01
6.600000000000000000e+01,8.192805051803588867e+00,7.061076909303665161e-02,5.973387509584426880e-02,1.788123243308130128e+01
6.700000000000000000e+01,8.360533714294433594e+00,7.087569683790206909e-02,6.017144769430160522e-02,1.779133219307708558e+01
6.800000000000000000e+01,8.524664878845214844e+00,7.055803388357162476e-02,5.968279018998146057e-02,1.764615099333662585e+01
6.900000000000000000e+01,8.668337106704711914e+00,7.050074636936187744e-02,5.959501862525939941e-02,1.763191629963316132e+01
7.000000000000000000e+01,8.810994148254394531e+00,7.031909376382827759e-02,5.931387469172477722e-02,1.758367507882956815e+01
7.100000000000000000e+01,8.956989765167236328e+00,7.024012506008148193e-02,5.919305235147476196e-02,1.755564691153964674e+01
7.200000000000000000e+01,9.112094163894653320e+00,7.026787847280502319e-02,5.923564732074737549e-02,1.753655341402940948e+01
7.300000000000000000e+01,9.267387628555297852e+00,6.933099031448364258e-02,5.777264013886451721e-02,1.748579589595182426e+01
7.400000000000000000e+01,9.434029102325439453e+00,6.919019669294357300e-02,5.755159631371498108e-02,1.746023926487186273e+01
7.500000000000000000e+01,9.629638910293579102e+00,6.921552121639251709e-02,5.758931487798690796e-02,1.745582265457900206e+01
